business_date,account_number,account_currency,account_balance,client_rate,days_in_year,interest_revenue_usd,interest_expense_usd
20260406,7423388,GBP,-426409.87,2.6133,360,38.692253933020844,0.0
20260406,7550634,JPY,206393.75,1.48369,360,0.0,-0.055290506363715276
20260406,5304572,GBP,-545491.44,9.58757,360,181.59504740974998,0.0
20260406,3234489,USD,521492.41,8.27319,365,0.0,-118.20289839692876
20260406,8204212,EUR,351325.75,6.2352,360,0.0,-66.93458188999999
20260406,5472471,JPY,981762.91,3.5027,360,0.0,-0.6208982261547362
20260406,5523669,GBP,168644.62,7.87879,360,0.0,-46.135956444784725
20260406,8404852,GBP,536235.45,3.75822,360,0.0,-69.9753747534375
20260406,5981505,USD,-850950.11,6.99172,365,163.00287405723836,0.0
20260406,2766891,USD,-914015.5,5.44456,365,136.34006111452058,0.0
20260406,5521373,JPY,163294.48,5.50558,360,0.0,-0.16232500974415554
20260406,7019877,USD,970703.49,5.31564,365,0.0,-141.3674054680438
20260406,4344769,EUR,-462416.72,9.74369,360,137.67249132073556,0.0
20260406,1103355,JPY,-996574.07,9.0002,360,1.619468851146972,0.0
20260406,2262752,USD,-318167.86,4.44676,365,38.76208529133151,0.0
20260406,6664789,JPY,478169.39,9.42575,360,0.0,-0.8137828702958682
20260406,6743066,GBP,604543.14,6.53988,360,0.0,-137.27915244525002
20260406,7113790,JPY,562135.91,8.41482,360,0.0,-0.8540769788391751
20260406,5721339,GBP,-838153.12,8.14492,360,237.03785104688893,0.0
20260406,4275709,JPY,541658.29,9.61212,360,0.0,-0.9400596982246168
20260406,1084654,USD,-836691.44,1.99133,365,45.647363430553426,0.0
20260406,6147581,GBP,974328.1,7.03314,360,0.0,-237.937011570625
20260406,2954354,JPY,-259037.64,9.44185,360,0.44160179216725004,0.0
20260406,9242680,EUR,386977.55,0.63262,360,0.0,-7.480297540252778
20260406,3428388,USD,-30966.04,9.2332,365,7.833305219945205,0.0
20260406,9916786,JPY,-518706.09,9.33246,360,0.8740340260674749,0.0
20260406,3663046,JPY,221711.56,5.07446,360,0.0,-0.20313699660901108
20260406,6499720,GBP,-968156.88,6.91497,360,232.45749237825007,0.0
20260406,7640913,GBP,10312.98,0.14685,360,0.0,-0.0525854553125
20260406,4416664,USD,-921920.99,0.22258,365,5.621949971347945,0.0
20260406,4385659,GBP,135606.36,0.17383,360,0.0,-0.8184879707916666
20260406,4385357,JPY,-85419.1,4.50949,360,0.06954938200509724,0.0
20260406,2465689,JPY,789453.61,1.14725,360,0.0,-0.16352928476309028
20260406,1068148,GBP,932006.66,7.88825,360,0.0,-255.27435888003473
20260406,2825665,USD,302202.03,2.34346,365,0.0,-19.402695047227397
20260406,3745683,EUR,-629624.64,1.59254,360,30.638129627893335,0.0
20260406,5056518,JPY,47128.36,3.4421,360,0.0,-0.029289817547611112
20260406,3669995,JPY,-996744.86,2.22801,360,0.40097010697044166,0.0
20260406,5997895,GBP,536135.03,7.25076,360,0.0,-134.978695490375
20260406,7397986,EUR,-917670.92,3.59342,360,100.75929836336222,0.0
20260406,2870928,JPY,615136.87,7.77772,360,0.0,-0.8638431996524055
20260406,5155299,EUR,-470644.02,8.16069,360,117.35716506475504,0.0
20260406,7249859,EUR,-499937.88,5.89286,360,90.01862025251334,0.0
20260406,3305413,JPY,-820640.29,6.23235,360,0.9234545506661044,0.0
20260406,4910197,EUR,371527.78,2.84853,360,0.0,-32.33718971888167
20260406,6558019,EUR,-268016.52,6.45165,360,52.835101649550005,0.0
20260406,6414709,GBP,-820188.51,5.0748,360,144.52405036624998,0.0
20260406,1271836,GBP,-357982.02,7.00869,360,87.1175348525625,0.0
20260406,4584702,EUR,844221.38,6.68874,360,0.0,-172.54041790520333
20260406,8281369,USD,-930109.98,6.93941,365,176.83327387155617,0.0
20260406,3299435,EUR,338107.83,8.53648,360,0.0,-88.19099448617334
20260406,9585377,JPY,2011.67,5.90645,360,0.0,-0.002145330104576389
20260406,3658505,USD,195289.11,7.79353,365,0.0,-41.698398286528764
20260406,2271741,GBP,-216710.92,3.26789,360,24.589841956902777,0.0
20260406,4769315,USD,-36916.58,7.92808,365,8.018564371682192,0.0
20260406,2046797,GBP,518596.76,3.14885,360,0.0,-56.700812768263894
20260406,4047262,USD,-33643.23,3.63423,365,3.349787281175343,0.0
20260406,1564685,EUR,-247421.79,8.74637,360,66.12352148729252,0.0
20260406,3879190,GBP,-448491.75,2.51128,360,39.10723478958334,0.0
20260406,6596411,JPY,-98998.41,7.38137,360,0.13193986968169585,0.0
20260406,2007293,USD,151438.49,2.3363,365,0.0,-9.693308059917808
20260406,5774183,EUR,-251035.61,2.41842,360,18.550569275828334,0.0
20260406,4366612,USD,801974.9,6.03567,365,0.0,-132.61522862145208
20260406,9411855,USD,991890.6,0.35167,365,0.0,-9.556662117863013
20260406,6267180,JPY,-591763.0,6.49493,360,0.6939579222315279,0.0
20260406,8807313,USD,288529.19,7.36662,365,0.0,-58.23246305856987
20260406,3704238,JPY,-587697.37,9.14469,360,0.9703615751673459,0.0
20260406,3630708,GBP,82101.83,7.52984,360,0.0,-21.46575151413889
